MD(ft);TVD(ft);DTEMP(F)
212;204.794430604323;86.8466
212.5;205.347912468058;86.8793
213;205.901331810273;86.9305
213.5;206.454688665356;86.9666
214;207.007983067688;87.0127
214.5;207.561215051641;87.0515
215;208.114384651575;87.089
215.5;208.667491901843;87.1394
216;209.220536836789;87.1958
216.5;209.773519490744;87.231
217;210.326439898034;87.2974
217.5;210.879298092972;87.345
218;211.432094109865;87.4021
218.5;211.984827983009;87.4553
219;212.537499746689;87.5039
219.5;213.090109435183;87.5647
220;213.642657082758;87.5995
220.5;214.195142723674;87.6556
221;214.747566392179;87.7107
221.5;215.299928122513;87.7412
222;215.852227948906;87.7979
222.5;216.404465905578;87.8418
223;216.956642026742;87.9029
223.5;217.5087563466;87.9465
224;218.060808899344;87.9948
224.5;218.612799719157;88.0708
225;219.164728840215;88.1035
225.5;219.716596296681;88.1702
226;220.26840212271;88.2204
226.5;220.82014635245;88.2948
227;221.371829020035;88.3645
227.5;221.923450159594;88.4251
228;222.475009805244;88.4862
228.5;223.026507991094;88.5259
229;223.577944751243;88.5609
229.5;224.12932011978;88.5988
230;224.680634130787;88.628
230.5;225.231886818333;88.6767
231;225.783078216481;88.713
231.5;226.334208359283;88.7632
232;226.885277280782;88.8001
232.5;227.436285015011;88.8537
233;227.987231595995;88.8836
233.5;228.538117057749;88.9349
234;229.088941434278;88.9814
234.5;229.639704759578;89.0292
235;230.190407067637;89.0618
235.5;230.741048392431;89.1176
236;231.29162876793;89.159
236.5;231.842148228091;89.2026
237;232.392606806864;89.2495
237.5;232.943004538189;89.288
238;233.493341455997;89.327
238.5;234.04361759421;89.3624
239;234.593832986739;89.4014
239.5;235.143987667488;89.4469
240;235.694081670349;89.4974
240.5;236.244115029206;89.5342
241;236.794087777936;89.5709
241.5;237.343999950401;89.6195
242;237.89385158046;89.6619
242.5;238.443642701958;89.6968
243;238.993373348733;89.743
243.5;239.543043554613;89.7884
244;240.092653353417;89.8327
244.5;240.642202778953;89.8545
245;241.191691865023;89.9006
245.5;241.741120645416;89.9374
246;242.290489153914;89.9804
246.5;242.83979742429;89.9985
247;243.389045490305;90.0464
247.5;243.938233385714;90.0757
248;244.487361144261;90.0975
248.5;245.036428799679;90.1509
249;245.585436385695;90.1817
249.5;246.134383936025;90.2097
250;246.683271484375;90.2671
250.5;247.232099064443;90.3014
251;247.780866709918;90.3406
251.5;248.329574454477;90.3674
252;248.878222331791;90.4036
252.5;249.426810375519;90.4354
253;249.975338619313;90.4728
253.5;250.523807096814;90.5065
254;251.072215841655;90.5457
254.5;251.620564887458;90.593
255;252.168854267837;90.6286
255.5;252.717084016396;90.671
256;253.265254166731;90.7115
256.5;253.813364752426;90.7433
257;254.361415807059;90.7885
257.5;254.909407364197;90.8131
258;255.457339457397;90.8405
258.5;256.005212120208;90.8829
259;256.553025386169;90.9259
259.5;257.10077928881;90.9589
260;257.648473861651;91.0157
260.5;258.196109138204;91.0531
261;258.743685151971;91.0686
261.5;259.291201936445;91.1216
